"Sample_ID","Sentrix_ID","Sentrix_Position","A","B","barcode"
"3231_Blut",8359018032,"R05C02","B_low",NA,"8359018032_R05C02"
"4071_Blut",8359018032,"R06C02","B_low",NA,"8359018032_R06C02"
"1601_Blut",8359018032,"R01C02","B_low",NA,"8359018032_R01C02"
"2002_Blut",8359018032,"R03C02","B_high",NA,"8359018032_R03C02"
"1932_Blut",8359018032,"R02C02","B_high",NA,"8359018032_R02C02"
"2131_Blut",8359018032,"R04C02","B_high",NA,"8359018032_R04C02"
"3231_Fett",8359018032,"R05C01",NA,"F_low","8359018032_R05C01"
"4071_Fett",8359018032,"R06C01",NA,"F_low","8359018032_R06C01"
"1601_Fett",8359018032,"R01C01",NA,"F_low","8359018032_R01C01"
"2002_Fett",8359018032,"R03C01",NA,"F_high","8359018032_R03C01"
"1932_Fett",8359018032,"R02C01",NA,"F_high","8359018032_R02C01"
"2131_Fett",8359018032,"R04C01",NA,"F_high","8359018032_R04C01"
